Model,Threshold,Net Benefit
Treat None,0.05,0.0
Treat All,0.05,0.17955425780467235
HybridXGBRF (Our Approach),0.05,0.18886018862897172
LogisticRegression (max_iter=200),0.05,0.18293442908136415
XGBClassifier,0.05,0.18568921362021848
RandomForestClassifier,0.05,0.1865304028239294
LogisticRegression (max_iter=1000),0.05,0.18293442908136415
Ridge,0.05,0.18242134770842006
Lasso,0.05,0.18265696876809823
Elastic,0.05,0.18253805720526997
Treat None,0.1,0.0
Treat All,0.1,0.1339739387938208
HybridXGBRF (Our Approach),0.1,0.1695558995671962
LogisticRegression (max_iter=200),0.1,0.16258733944186435
XGBClassifier,0.1,0.1680450376320842
RandomForestClassifier,0.1,0.16417723107819754
LogisticRegression (max_iter=1000),0.1,0.16258733944186435
Ridge,0.1,0.16134610825209544
Lasso,0.1,0.16208991720476595
Elastic,0.1,0.16169011989270554
Treat None,0.15,0.0
Treat All,0.15,0.0830312293111044
HybridXGBRF (Our Approach),0.15,0.1512218292613895
LogisticRegression (max_iter=200),0.15,0.1469788367210823
XGBClassifier,0.15,0.15020784264502837
RandomForestClassifier,0.15,0.146877930285959
LogisticRegression (max_iter=1000),0.15,0.1469788367210823
Ridge,0.15,0.1471880329890209
Lasso,0.15,0.1474489130408031
Elastic,0.15,0.14733077867773192
Treat None,0.2,0.0
Treat All,0.2,0.02572068114304843
HybridXGBRF (Our Approach),0.2,0.1376093050499979
LogisticRegression (max_iter=200),0.2,0.13185640768168697
XGBClassifier,0.2,0.13693987699259444
RandomForestClassifier,0.2,0.13253629555248736
LogisticRegression (max_iter=1000),0.2,0.13185640768168697
Ridge,0.2,0.13099870298313876
Lasso,0.2,0.131260198318062
Elastic,0.2,0.13115560018409272
Treat None,0.25,0.0
Treat All,0.25,-0.039231273447415005
HybridXGBRF (Our Approach),0.25,0.12454151151276796
LogisticRegression (max_iter=200),0.25,0.1157552682593476
XGBClassifier,0.25,0.12494595763078253
RandomForestClassifier,0.25,0.12088755003277407
LogisticRegression (max_iter=1000),0.25,0.1157552682593476
Ridge,0.25,0.11532292930560786
Lasso,0.25,0.11564369691644702
Elastic,0.25,0.11556001840927158
Treat None,0.3,0.0
Treat All,0.3,-0.11346207869365893
HybridXGBRF (Our Approach),0.3,0.11595450280024147
LogisticRegression (max_iter=200),0.3,0.10370157853526751
XGBClassifier,0.3,0.11389840233821658
RandomForestClassifier,0.3,0.10927815333488734
LogisticRegression (max_iter=1000),0.3,0.10370157853526751
Ridge,0.3,0.10333100228920489
Lasso,0.3,0.10394663702056699
Elastic,0.3,0.10343261190506076
Treat None,0.35,0.0
Treat All,0.35,-0.19911300782394037
HybridXGBRF (Our Approach),0.35,0.1071438916298964
LogisticRegression (max_iter=200),0.35,0.09278980924518768
XGBClassifier,0.35,0.10499399767631223
RandomForestClassifier,0.35,0.10200410024685158
LogisticRegression (max_iter=1000),0.35,0.09278980924518768
Ridge,0.35,0.09186934566625794
Lasso,0.35,0.0922169333114482
Elastic,0.35,0.09212681799602848
Treat None,0.39999999999999997,0.0
Treat All,0.39999999999999997,-0.29903909180926863
HybridXGBRF (Our Approach),0.39999999999999997,0.1014601899502113
LogisticRegression (max_iter=200),0.39999999999999997,0.08218624046413678
XGBClassifier,0.39999999999999997,0.09885220980991033
RandomForestClassifier,0.39999999999999997,0.0925902681896155
LogisticRegression (max_iter=1000),0.39999999999999997,0.08218624046413678
Ridge,0.39999999999999997,0.08127972330306962
Lasso,0.39999999999999997,0.08179574076398478
Elastic,0.39999999999999997,0.0817817943461222
Treat None,0.44999999999999996,0.0
Treat All,0.44999999999999996,-0.41713355470102026
HybridXGBRF (Our Approach),0.44999999999999996,0.09472026655408103
LogisticRegression (max_iter=200),0.44999999999999996,0.07219933741836593
XGBClassifier,0.44999999999999996,0.0907341267577241
RandomForestClassifier,0.44999999999999996,0.08423763174610421
LogisticRegression (max_iter=1000),0.44999999999999996,0.07219933741836593
Ridge,0.44999999999999996,0.07076919565936762
Lasso,0.44999999999999996,0.07148426653886678
Elastic,0.44999999999999996,0.07124083815435643
Treat None,0.49999999999999994,0.0
Treat All,0.49999999999999994,-0.5588469101711224
HybridXGBRF (Our Approach),0.49999999999999994,0.0863143801514581
LogisticRegression (max_iter=200),0.49999999999999994,0.061461863520354806
XGBClassifier,0.49999999999999994,0.08263252583573909
RandomForestClassifier,0.49999999999999994,0.07857411823773064
LogisticRegression (max_iter=1000),0.49999999999999994,0.061461863520354806
Ridge,0.49999999999999994,0.06171289904188109
Lasso,0.49999999999999994,0.06154554202753024
Elastic,0.49999999999999994,0.06162922053470566
Treat None,0.5499999999999999,0.0
Treat All,0.5499999999999999,-0.732052122412358
HybridXGBRF (Our Approach),0.5499999999999999,0.07883910017711951
LogisticRegression (max_iter=200),0.5499999999999999,0.05226652534296568
XGBClassifier,0.5499999999999999,0.07644031630475713
RandomForestClassifier,0.5499999999999999,0.07039686856430927
LogisticRegression (max_iter=1000),0.5499999999999999,0.05226652534296568
Ridge,0.5499999999999999,0.051648234151058306
Lasso,0.5499999999999999,0.0520015434035768
Elastic,0.5499999999999999,0.05172261504632536
Treat None,0.6,0.0
Treat All,0.6,-0.9485586377139028
HybridXGBRF (Our Approach),0.6,0.0694322413288147
LogisticRegression (max_iter=200),0.6,0.043366386343667636
XGBClassifier,0.6,0.0671310823814903
RandomForestClassifier,0.6,0.06468348604660894
LogisticRegression (max_iter=1000),0.6,0.043366386343667636
Ridge,0.6,0.042487762018325596
Lasso,0.6,0.042906154554202755
Elastic,0.6,0.04280155642023347
Treat None,0.65,0.0
Treat All,0.65,-1.226924157387318
HybridXGBRF (Our Approach),0.65,0.060672894738415
LogisticRegression (max_iter=200),0.65,0.03458313160836068
XGBClassifier,0.65,0.05676391304607697
RandomForestClassifier,0.65,0.057708284769913985
LogisticRegression (max_iter=1000),0.65,0.03458313160836068
Ridge,0.65,0.03305898737052245
Lasso,0.65,0.033118757732790605
Elastic,0.65,0.03341163250790463
Treat None,0.7,0.0
Treat All,0.7,-1.5980781836185372
HybridXGBRF (Our Approach),0.7,0.052731405938384726
LogisticRegression (max_iter=200),0.7,0.021449590672635736
XGBClassifier,0.7,0.048268552222361684
RandomForestClassifier,0.7,0.04960740833716861
LogisticRegression (max_iter=1000),0.7,0.021449590672635736
Ridge,0.7,0.019901538289890244
Lasso,0.7,0.021184608733246867
Elastic,0.7,0.020654644854469134
Treat None,0.75,0.0
Treat All,0.75,-2.117693820342245
HybridXGBRF (Our Approach),0.75,0.04464248357809297
LogisticRegression (max_iter=200),0.75,0.007405547885025732
XGBClassifier,0.75,0.03510313376009372
RandomForestClassifier,0.75,0.040082004937031915
LogisticRegression (max_iter=1000),0.75,0.007405547885025732
Ridge,0.75,0.005564620727166222
Lasso,0.75,0.005857495502280239
Elastic,0.75,0.005857495502280239
Treat None,0.7999999999999999,0.0
Treat All,0.7999999999999999,-2.8971172754278047
HybridXGBRF (Our Approach),0.7999999999999999,0.03593991883184804
LogisticRegression (max_iter=200),0.7999999999999999,-0.006275888038157391
XGBClassifier,0.7999999999999999,0.02100330530103343
RandomForestClassifier,0.7999999999999999,0.029371156018576643
LogisticRegression (max_iter=1000),0.7999999999999999,-0.006275888038157391
Ridge,0.7999999999999999,-0.007363708631438006
Lasso,0.7999999999999999,-0.006526923559683685
Elastic,0.7999999999999999,-0.006903476841973129
Treat None,0.85,0.0
Treat All,0.85,-4.196156367237075
HybridXGBRF (Our Approach),0.85,0.02068253769019427
LogisticRegression (max_iter=200),0.85,-0.015508416663180062
XGBClassifier,0.85,0.0
RandomForestClassifier,0.85,0.014281131891273731
LogisticRegression (max_iter=1000),0.85,-0.015508416663180062
Ridge,0.85,-0.01495055994867718
Lasso,0.85,-0.01563393442394321
Elastic,0.85,-0.015062131291577756
Treat None,0.9,0.0
Treat All,0.9,-6.794234550855614
HybridXGBRF (Our Approach),0.9,0.0030124262583155516
LogisticRegression (max_iter=200),0.9,-0.019329735157524796
XGBClassifier,0.9,0.0
RandomForestClassifier,0.9,0.00351449730136813
LogisticRegression (max_iter=1000),0.9,-0.019329735157524796
Ridge,0.9,-0.018158236057068747
Lasso,0.9,-0.018200075310656462
Elastic,0.9,-0.01840927157859504
Treat None,0.95,0.0
Treat All,0.95,-14.58846910171121
HybridXGBRF (Our Approach),0.95,0.0
LogisticRegression (max_iter=200),0.95,-0.01581523785615663
XGBClassifier,0.95,0.0
RandomForestClassifier,0.95,-0.015062131291577723
LogisticRegression (max_iter=1000),0.95,-0.01581523785615663
Ridge,0.95,-0.013472239655244538
Lasso,0.95,-0.01418350696623571
Elastic,0.95,-0.013388561148069106
