排名,結案原因分類,累計次數,佔比 (%),包含的主要關鍵字 / 備註
1.0,返家照護/家屬自行照顧,10184,0.515,返家、家屬、自行照顧、外傭、看護、回家...
2.0,空白 / 未填寫,3559,0.18,系統上直接留白或未填寫的資料
3.0,轉院 / 轉介其他機構,3345,0.169,轉院、轉介、機構、護理之家、安養...
4.0,其他,1158,0.059,標註為「其他:」的項目
5.0,就醫 / 住院 / 病情變化,614,0.031,住院、醫療、病房、醫院、惡化、急診...
6.0,自行退住/未入住/適應不良/不符標準,511,0.026,退住、離開、未入住、適應不良、終止服務...
7.0,喘息服務結束,89,0.005,喘息、喘息結束
8.0,死亡 / 往生,83,0.004,死亡、歿、往生 (註記方式與原篩選條件不同)
9.0,疾病改善 / 復原,53,0.003,改善、健康因素、自我照顧能力改善、復原...
10.0,暫停服務逾期,36,0.002,暫停服務超過二個月以上
11.0,經濟 / 家庭因素,29,0.001,經濟因素、家庭因素
12.0,轉居家服務,23,0.001,轉居家服務
13.0,其他 / 雜項,72,0.004,其他零星無法明確歸類的文字（如：錯誤資料等）
,,19756,,
