Feature,Feature_EN,Hazard Ratio per 1 SD,95% CI Low,95% CI High,P value
ADL_總分_max,ADL Total Max,0.12125426580016595,0.0848203788991,0.17333802519589195,5.706538027428568e-31
ADL_Max,ADL Maximum,0.30736597559625306,0.20148846853318433,0.4688796517339005,4.3685177258009204e-08
ADL_first_score,ADL First Score,12.33570538319222,9.486805672479194,16.040133270817897,1.825325808784278e-78
六個月內住院次數,Hospitalizations within 6 Months,1.219734899879974,1.1953275626610735,1.2446406093683058,1.148384030647452e-82
ADL_Min,ADL Minimum,0.30617091704754884,0.2741802200744256,0.3418942125740922,4.177521190196632e-98
ADL_last_score,ADL Last Score,4.242209593166028,3.9854128779529603,4.515552787994551,0.0
使用呼吸輔具,Use of Respiratory Aid,1.101866265483333,1.0775285139524717,1.1267537251118533,1.7016450691094068e-17
first_has_feeding_tube,Has Feeding Tube (First),1.096497509419664,1.0431770995405227,1.1525433109038663,0.0002923276497292924
last_has_feeding_tube,Has Feeding Tube (Last),0.8986168787996079,0.8525688826565255,0.9471519677652506,6.802782024170647e-05
性別_is_male,Male,1.1980719482464932,1.1647603531182094,1.2323362392379391,3.4577046678822854e-36
BW_last,Body Weight (Last),0.9210432158747435,0.8964662374146449,0.9462939819745976,2.516333406957625e-09
ADL_last_CouldNot,ADL Last Could Not Perform,0.9144264741269067,0.8781959915827143,0.9521516661413841,1.443589630592657e-05
