Characteristic,Included residents,Excluded residents summary,P value,Missing/Notes
N residents,0,19756,,
"Age, years",NA,76.6 (14.9),NA,Included missing=0; excluded missing=0
Male sex,NA,9929 (50.3%),NA,Included missing=0; excluded missing=0
DNR,NA,5032 (25.5%),NA,Included missing=0; excluded missing=0
Initial ADL score,NA,32.6 (30.9),NA,Included missing=0; excluded missing=6861
Maximum ADL score,NA,34.0 (31.6),NA,Included missing=0; excluded missing=6715
Initial body weight,NA,55.2 (12.9),NA,Included missing=0; excluded missing=9584
Hospitalizations within 6 months,NA,0.3 (0.7),NA,Included missing=0; excluded missing=0
Initial feeding tube,NA,978 (8.3%),NA,Included missing=0; excluded missing=7949
Respiratory aid / oxygen use,NA,407 (3.4%),NA,Included missing=0; excluded missing=7949
Fall history,NA,NA,NA,Included missing=0; excluded missing=19756
Approved beds,NA,80.0 (54.5),NA,Included missing=0; excluded missing=640
Small facility (<50 beds),NA,8996 (47.1%),NA,Included missing=0; excluded missing=640
Large facility (>150 beds),NA,2115 (11.1%),NA,Included missing=0; excluded missing=640
