Variable,Missing N,Missing Percent,Missing Percent Dead,Missing Percent Alive,Difference Dead-Alive
dbname,23901,1.0,1.0,1.0,0.0
結案日期,23901,1.0,1.0,1.0,0.0
意識分級,23901,1.0,1.0,1.0,0.0
入家日期,23901,1.0,1.0,1.0,0.0
disease_last_score,20403,0.8536462909501694,0.9320940819423369,0.8314455955767889,0.10064848636554802
disease_diff_seq,20403,0.8536462909501694,0.9320940819423369,0.8314455955767889,0.10064848636554802
disease_std,20403,0.8536462909501694,0.9320940819423369,0.8314455955767889,0.10064848636554802
disease_Max,18619,0.7790050625496842,0.7651745068285281,0.7829191046218262,-0.017744597793298178
disease_Min,18619,0.7790050625496842,0.7651745068285281,0.7829191046218262,-0.017744597793298178
disease_first_score,18619,0.7790050625496842,0.7651745068285281,0.7829191046218262,-0.017744597793298178
last_ 意識_V,14158,0.592360152294883,0.6138088012139605,0.5862901927102904,0.02751860850367016
first_ 意識_V,14158,0.592360152294883,0.6138088012139605,0.5862901927102904,0.02751860850367016
last_ 意識_E,13903,0.5816911426300155,0.6031866464339909,0.5756079231306028,0.027578723303388064
first_ 意識_E,13903,0.5816911426300155,0.6031866464339909,0.5756079231306028,0.027578723303388064
first_ 意識_M,13898,0.581481946362077,0.6028072837632777,0.5754468838907081,0.027360399872569663
last_ 意識_M,13898,0.581481946362077,0.6028072837632777,0.5754468838907081,0.027360399872569663
ADL_std,5145,0.2152629597087988,0.5754931714719271,0.11331794513929894,0.4621752263326282
ADL_diff_seq,5145,0.2152629597087988,0.5754931714719271,0.11331794513929894,0.4621752263326282
ADL_last_score,5145,0.2152629597087988,0.5754931714719271,0.11331794513929894,0.4621752263326282
BW_diff_seq,3735,0.15626961215011925,0.251896813353566,0.12920715014225134,0.12268966321131466
BW_last,3735,0.15626961215011925,0.251896813353566,0.12920715014225134,0.12268966321131466
BW_first,3735,0.15626961215011925,0.251896813353566,0.12920715014225134,0.12268966321131466
使用呼吸輔具,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
had_fall,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
diff_has_feeding_tube,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
last_has_feeding_tube,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
first_has_feeding_tube,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
last_ 意識總分,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
意識總分_diff,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
意識總分Max,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
first_has_denture,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
first_ 意識總分,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
diff_has_denture,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
last_has_denture,2229,0.09325969624701895,0.08782245827010622,0.09479843255139836,-0.006975974281292138
ADL_first_score,285,0.011924187272499059,0.028452200303490136,0.007246765795265446,0.02120543450822469
ADL_Max,285,0.011924187272499059,0.028452200303490136,0.007246765795265446,0.02120543450822469
ADL_Min,285,0.011924187272499059,0.028452200303490136,0.007246765795265446,0.02120543450822469
